,fname,coef_os,coef_pfs,gid,select_os,select_pfs,select_both,select_or
0,Feature_SBS1,-0.18862001380929644,-0.02628304594837153,SBS1,True,False,False,True
1,Feature_SBS2,0.19692418598902311,0.17013288242176228,SBS2,True,True,True,True
2,Feature_SBS3,0.07375978323256921,0.07567633186414438,SBS3,False,False,False,False
3,Feature_SBS4,0.05175668478569288,0.06005387156973744,SBS4,False,False,False,False
4,Feature_SBS5,-0.02637027410072057,-0.01437556537172991,SBS5,False,False,False,False
5,Feature_SBS6,-0.12433299414537193,-0.015018063944845209,SBS6,True,False,False,True
6,Feature_SBS7a,0.11523863628396919,0.03722982936078475,SBS7a,True,False,False,True
7,Feature_SBS7b,0.03475507334775135,-0.0004984239451090335,SBS7b,False,False,False,False
8,Feature_SBS7c,0.024534675139557243,0.0026578257872760225,SBS7c,False,False,False,False
9,Feature_SBS7d,-0.002576607316164493,0.0013061654654720478,SBS7d,False,False,False,False
10,Feature_SBS8,0.00658532147231318,-0.03984227084632684,SBS8,False,False,False,False
11,Feature_SBS9,-0.0007199113061333646,0.016243834986000457,SBS9,False,False,False,False
12,Feature_SBS10b,0.015187324981975937,-0.013956467422633049,SBS10b,False,False,False,False
13,Feature_SBS11,0.006642200799830722,0.06400272395118602,SBS11,False,False,False,False
14,Feature_SBS12,-0.033486607508268755,0.0032000755476694503,SBS12,False,False,False,False
15,Feature_SBS13,-0.006395734413746853,-0.011107703177995303,SBS13,False,False,False,False
16,Feature_SBS15,-0.11056869691183423,-0.011357351069266525,SBS15,True,False,False,True
17,Feature_SBS17a,-0.09022369722911576,-0.06755851035655114,SBS17a,False,False,False,False
18,Feature_SBS17b,-0.018340339264228064,0.0355662324884218,SBS17b,False,False,False,False
19,Feature_SBS18,0.15212416786917915,0.04286607868398594,SBS18,True,False,False,True
20,Feature_SBS19,-0.00836515018568864,-0.10312036795924849,SBS19,False,True,False,True
21,Feature_SBS21,-0.018584827475034548,-0.00747845929773766,SBS21,False,False,False,False
22,Feature_SBS22a,-0.20441121275830706,-0.20703014357599075,SBS22a,True,True,True,True
23,Feature_SBS23,0.02803407494718058,0.021699192295174637,SBS23,False,False,False,False
24,Feature_SBS24,0.1108229545181939,0.05861659892221032,SBS24,True,False,False,True
25,Feature_SBS25,-0.10583841682103161,-0.03299718141205455,SBS25,True,False,False,True
26,Feature_SBS26,-0.04329347591242718,-0.006752307784208103,SBS26,False,False,False,False
27,Feature_SBS28,-0.005652122274363454,-0.04567072874552595,SBS28,False,False,False,False
28,Feature_SBS29,0.07847865319660033,0.03829035586113266,SBS29,False,False,False,False
29,Feature_SBS30,0.0268007210424302,0.029047280100955454,SBS30,False,False,False,False
30,Feature_SBS31,0.041962066963036206,0.07231673041613457,SBS31,False,False,False,False
31,Feature_SBS32,0.040542926204026684,0.0511516435698896,SBS32,False,False,False,False
32,Feature_SBS34,-0.35984049204129065,0.011675376244831868,SBS34,True,False,False,True
33,Feature_SBS35,-0.09740586308758413,0.007806299877437427,SBS35,False,False,False,False
34,Feature_SBS36,-0.19567596260770845,0.05468858991900575,SBS36,True,False,False,True
35,Feature_SBS37,0.00864704320682603,0.026344920042561948,SBS37,False,False,False,False
36,Feature_SBS39,0.04545320199585722,0.0,SBS39,False,False,False,False
37,Feature_SBS40a,0.09668655252417468,0.07906263348522559,SBS40a,False,False,False,False
38,Feature_SBS40b,-0.035696392609864146,-0.024699910962751665,SBS40b,False,False,False,False
39,Feature_SBS40c,0.03628582658936644,0.027585339605533388,SBS40c,False,False,False,False
40,Feature_SBS41,-0.1166621068867605,-0.038990401888118656,SBS41,True,False,False,True
41,Feature_SBS42,0.10882836843878937,0.037115842096213145,SBS42,True,False,False,True
42,Feature_SBS44,-0.015818808737726994,0.0021947266041381164,SBS44,False,False,False,False
43,Feature_SBS45,0.04878536262631454,0.0930222165953376,SBS45,False,False,False,False
44,Feature_SBS46,0.07296514195187737,0.056073396675316974,SBS46,False,False,False,False
45,Feature_SBS47,0.014830000520903969,0.0,SBS47,False,False,False,False
46,Feature_SBS50,-0.08136690921446428,-0.04379780778793943,SBS50,False,False,False,False
47,Feature_SBS51,-0.016721095556706405,0.050668671390350195,SBS51,False,False,False,False
48,Feature_SBS52,0.03716788478909939,0.04507207904595706,SBS52,False,False,False,False
49,Feature_SBS53,0.03597379924132106,0.01821723217066501,SBS53,False,False,False,False
50,Feature_SBS54,-0.025187123144454534,-0.03747744466755522,SBS54,False,False,False,False
51,Feature_SBS57,-0.13126573321320928,-0.04648354831473462,SBS57,True,False,False,True
52,Feature_SBS58,0.0931237177097927,0.12306992551241788,SBS58,False,True,False,True
53,Feature_SBS84,-0.13322261176801664,-0.12010833886777338,SBS84,True,True,True,True
54,Feature_SBS85,0.015277676725718406,0.029774769150221737,SBS85,False,False,False,False
55,Feature_SBS86,0.018115979517368472,0.014798974501464694,SBS86,False,False,False,False
56,Feature_SBS87,-0.1483214221905772,-0.07794184072856149,SBS87,True,False,False,True
57,Feature_SBS88,0.0,-0.04159853003862048,SBS88,False,False,False,False
58,Feature_SBS89,-0.018754846971482053,0.0027691464268939175,SBS89,False,False,False,False
59,Feature_SBS90,-0.23696805048593117,0.03135376375182174,SBS90,True,False,False,True
60,Feature_SBS93,0.0005684458801107088,-0.05069249118733005,SBS93,False,False,False,False
61,Feature_SBS94,0.06370334569969095,0.05901199430235965,SBS94,False,False,False,False
62,Feature_SBS95,0.045652777928092726,0.017236130696600634,SBS95,False,False,False,False
63,Feature_SBS96,-0.0822572898467653,0.025366667442504418,SBS96,False,False,False,False
64,Feature_SBS97,0.07215978174582152,0.03724624289117461,SBS97,False,False,False,False
65,Feature_SBS99,-0.014320630829915661,0.0054553254894743625,SBS99,False,False,False,False
